Neutralized SMILES,ATC Codes,predicted_atc4
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,C09CA,M05AA02
O=C(NC(Cc1ccccc1)c1ccccc1)c1cccnc1,A03AC,M01AA03
CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1,A02BX,J01AA02
O=[N+]([O-])OC1COC2C(O)COC12,C01DA,N06AC01
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,L01EA; L01XE,A07BA08
CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,C03AA,A07BC01
CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\\C[C@@H](O)CC[C@@H]3C)CCC[C@]12C,A11CC,J01AA03
CS(=O)(=O)OCCCCOS(C)(=O)=O,L01AB,A07BA07
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,C04AX,J/01AA
CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,L01EM; L01XX,J себе - Н3
C[C@H](CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,C01CA,A01AA04
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,C08CA,A07AA04
Cc1ccc(/C(=C\\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,R06AX,A02AA04
CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,M02AA,A07AA07
Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,C08EX,A07BA07
COc1ccccc1OCC(O)COC(N)=O,M03BA,H01AA03
CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,R01AX; R03AL; R03BB,A07AA07
CCC1(CC)C(=O)CCNC1=O,R05DB,J/A01AA01
[2H]C([2H])([2H])Oc1cc2c(cc1OC([2H])([2H])[2H])C1CC(=O)C(CC(C)C)CN1CC2,N07XX,J01AA03
FC(F)O[C@@H](Cl)C(F)(F)F,N01AB,A07BC02
Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,L01AA,A07AA07
Cc1ccc(C(C)C)cc2c(C)ccc1-2,S01XA,M01AA02
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,J01CE,J/HD01
COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,N06BA,A07AA07
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,L01BA,A07BA08
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,C01BD,J01AA02
CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,L01AD,A07AA07
O=C(O)CCCC[C@@H]1CCSS1,A16AX,A01AA01
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,L01XX,D06AA06
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,M09AA; P01BC,A01AA04
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,J01CA; J01CR,A07AA07
CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,M01AX; M02AA,A07AA07
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,C09AA; C09BA; C09BB; C09BX; C10BX,A07AA07
C#CCN[C@@H]1CCc2ccccc21,N04BD,M01AA03
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,R01AC; R06AX; S01GX,M01AA03
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,A10BH; C10AA; C10BA; C10BX; G01AE,A07BA08
CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,J01GA,J/01AA03
CC1=C2N3[C@@H]4[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)(O)O[C@H]2[C@@H](O)[C@H](O[C@@H]2CO)n2c[n+](c5cc(C)c(C)cc52)[Co-3]325(O)[N+]3=C1[C@@H](CCC(N)=O)C(C)(C)C3=CC1=[N+]2C(=C(C)C2=[N+]5[C@]4(C)[C@@](C)(CC(N)=O)[C@@H]2CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]1CCC(N)=O,B03BA,A07BA08
CN(C)CCOC(c1ccccc1)c1ccccc1,D04AA; M01AE; N05CM; R06AA,M01AA02
C[C@@H](C(=O)O)c1cccc(Oc2ccccc2)c1,M01AE,U03AA03
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,A01AB; A02BD; D06AA; J01AA; J01RA; S01AA; S02AA; S03AA,A07AA07
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,N02BG,A02AA04
CCOC(=S)SSC(=S)OCC,P03AA,D06AA06
N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,B01AE,A07BA08
O=C(O[Ca]OC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,A12AA,A07EA07
C[N+]1(C)CCC[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,A03AB,J01AA03
C=CC(N)CCC(=O)O,N03AG,A02AA02
NCCCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,H01BA,A07AA09
Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,S01EX,A02AA04
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,A08AA; N06AX,M01AA08
O=C(NC[C@@H]1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,C01BC,A07BA08
C=CCC1([C@@H](C)CCC)C(=O)NC(=O)NC1=O,N05CA,A07AA07
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,D06AX; J01GB; J01RA; S01AA,A07BA08
CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,N05CD,A07BA07
Cc1cccc(C)c1N(CC(=O)Nc1ccc(-c2ncon2)cc1)C(=O)C1CCS(=O)(=O)CC1,J05AX,J/01AA03
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,J01DD; J01RA,J/01AA03
N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,C10AX,A07AA07
CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,R06AA,A08AA08
c1cnc2cc3c(cc2n1)C1CNCC3C1,N07BA; S01XA,M05AA08
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,J01FA,A01EA07
Nc1nc(N)nc(Nc2ccc([As]3SCC(CO)S3)cc2)n1,P01CD,N06AA03
C[C@H](C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1,G02CC; M01AE,"J15AA
"
CC[N+](C)(CC)CCOC(c1ccccc1)c1ccccc1,A03AB,N05BD04
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,R01BA; R06AE; S01GX,M01AA08
CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,A05BA,A01AA08
CN1CCOC(c2ccccc2)c2ccccc2C1,N02BG,M01AA02
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,R07AB,J16AQ02
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,J01FF,A07BA08
CCOC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)[C@@H](N)Cc1ccc(N(CCCl)CCCl)cc1,L01AA,A07BA08
CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1,C07AB,A07BA08
COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,G04BE,A07AA07
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(C)C)c1ccccc1CC2,C01EB,A07AA07
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,L01EF,A07BA08
NCCC[C@@](N)(C(=O)O)C(F)F,D11AX; P01CX,A07BC01
CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,C04AE,A07BA08
CCOC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,C09AA,A07BA08
COc1nc(N)nc2c1ncn2C1OC(CO)C(O)C1O,L01BB,"M01AA08
"
CNCCCC12CCC(c3ccccc31)c1ccccc12,N06AA,J (Neurotransmitter Transport Inhibitors)
Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,N07CA,J01AA03
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,C05AA; D07AC; D07BC; D07CC; S01BA; S01CA; S02BA; S02CA,J05BA02
COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3,M03AA,A07BA08
NC(=O)N[C@@H](CCC(=O)O)C(=O)O,A16AA,A07AA07
C[N+]1(CC2CC2)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,A03BB,J01AA02
CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,N06AX,J/08/A01
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,L01CD,J15AA06
CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,N05AA,M01AA08
CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,R01AC; R03BC; S01GX,A02AA04
C[C@@H](COc1ccccc1)N(CCCl)Cc1ccccc1,C04AX,M01AA03
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,L01CB,M05AB02
COc1cc2c(cc1OC)[C@H]1C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN1CC2,N07XX,J05AA03
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,L01EX; L01XE,A07BC05
NS(=O)(=O)c1cc([C@@]2(O)NC(=O)c3ccccc32)ccc1Cl,C03BA,M01AA03
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,A04AD,D06AX03
CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,G03DB; G03FA; G03FB,J01AA03
COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1,C08CA,M01AA03
Cn1c(=O)c2c(ncn2C)n(C)c1=O,D11AX; N02BB; N06BC; R03DA,A07AA07
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,N05BA,A07AA07
CCCCCCCCCCCC,A06AA,D03EA01
C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,H05BX,J (Amino alcohols)
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C=C(C)C4=Cc5c(cnn5-c5ccccc5)C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,H02AB,J/08AA03
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,A04AD,A01AA03
CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,R01AX,A01EA02
C[C@H]1[C@@H](O)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@]24OO3,P01BE; P01BF,A01AA01
COc1cccc(N(C)C(=S)Oc2ccc3c(c2)CCCC3)n1,D01AE,J/HD1
C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,A03AB; A03CA,J01AA03
CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)O[C@H]1[C@H](O)[C@H](OC)[C@H](OC/C2=C\\C=C\\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H]([C@@H](C)O)OC2=O)O[C@@H]1C,A07AA,A07EA08
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,J01DH,A07BA06
Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,N06AX,A07AA07
CCC(Br)(CC)C(=O)NC(N)=O,N05CM,A07AA07
Cc1ccsc1C(=CCCN1CCCC(C(=O)O)C1)c1sccc1C,N03AG,A09AA09
FC(F)OC(F)(F)C(F)Cl,N01AB,D06AA06
CO[C@@]1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,J01DD,A01AA01
COCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1,J01DD,J/01AA
CC[N+](C)(CC)CCOC(=O)C(O)(c1cccs1)C1CCCC1,A03AB,A07BA07
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,A11HA; S01XA,A01EA07
COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1,N02AX,M01AA08
Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,J05AG,A07BA08
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\\C=C\\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,A02BD; J04AB,J15AA
